                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.65716,                 1.0066,                 0.4874,                0.91754,                0.60112,                0.77948,                0.72803,                0.53254,                0.57237,                 0.7425,                  0.675,                0.41146,                 0.8052,                 1.0379,                0.54471,                0.90201,               0.000406,               0.000406,               0.000406
                     26,                0.63886,                0.97397,                0.47882,                0.90892,                0.75796,                0.79935,                0.78593,                0.56433,                0.70385,                 0.7586,                0.72615,                0.40258,                0.76506,                 1.0313,                0.54029,                0.90836,             0.00038125,             0.00038125,             0.00038125
                     27,                 0.6472,                 0.9824,                0.48619,                0.91514,                0.71392,                 0.8134,                0.75789,                0.54654,                0.68424,                0.76324,                0.70041,                 0.3835,                0.76868,                 1.0059,                0.51792,                0.90795,              0.0003565,              0.0003565,              0.0003565
                     28,                0.64384,                0.97301,                0.47389,                0.90977,                0.66519,                0.85056,                0.76326,                 0.5623,                0.67378,                0.72121,                0.69826,                0.39894,                0.76955,                 1.0749,                0.52642,                0.90501,             0.00033175,             0.00033175,             0.00033175
                     29,                0.62895,                0.95619,                0.46237,                0.90556,                0.71654,                0.82016,                0.78089,                0.57074,                0.67388,                0.77361,                0.71755,                0.41616,                0.76962,                 1.0702,                0.51829,                0.90685,               0.000307,               0.000307,               0.000307
                     30,                0.62816,                0.95157,                0.46319,                0.90376,                 0.6253,                0.77876,                0.73687,                0.55951,                0.58627,                 0.7268,                0.66743,                0.39664,                0.74252,                  1.028,                0.51028,                0.89811,             0.00028225,             0.00028225,             0.00028225
                     31,                 0.6218,                 0.9454,                0.43403,                0.90042,                0.74731,                0.81639,                0.78049,                0.56603,                0.69736,                 0.7536,                0.72762,                0.39322,                 0.7268,                 1.0451,                0.50431,                0.89551,              0.0002575,              0.0002575,              0.0002575
                     32,                0.61615,                0.91401,                 0.4193,                0.89435,                0.75581,                0.74384,                0.75117,                0.56486,                0.69575,                0.69877,                0.68974,                 0.3906,                0.72571,                 1.0149,                0.50456,                0.89323,             0.00023275,             0.00023275,             0.00023275
                     33,                 0.6125,                0.91179,                0.41621,                 0.8934,                0.69321,                0.76336,                0.72721,                 0.5435,                 0.6429,                 0.7146,                0.65676,                0.38409,                0.73349,                  1.045,                0.51039,                0.90078,               0.000208,               0.000208,               0.000208
                     34,                0.60719,                0.91247,                 0.4112,                0.88845,                0.74797,                0.78569,                 0.7609,                0.55547,                0.64076,                0.68786,                0.65596,                0.38992,                0.73848,                 1.0485,                0.49943,                0.89139,             0.00018325,             0.00018325,             0.00018325
                     35,                0.60761,                0.89829,                0.40636,                0.89212,                0.66605,                0.74367,                0.72503,                0.53561,                0.58113,                0.63846,                0.62453,                0.37781,                0.73265,                 1.0326,                0.49579,                 0.8942,              0.0001585,              0.0001585,              0.0001585
                     36,                0.59937,                0.88678,                0.40159,                0.88687,                0.71877,                0.74777,                0.75915,                0.56439,                0.79735,                0.66195,                0.70907,                0.39675,                0.71404,                0.98501,                0.47894,                0.88551,             0.00013375,             0.00013375,             0.00013375
                     37,                0.59881,                0.88412,                0.39461,                 0.8861,                0.69713,                0.76394,                0.74318,                0.55194,                 0.6461,                0.71386,                0.68224,                0.39118,                0.70983,                 1.0097,                0.48937,                0.89373,               0.000109,               0.000109,               0.000109
                     38,                0.58707,                0.87114,                0.38546,                0.88475,                0.73884,                0.74379,                0.74536,                0.55579,                0.68631,                0.69691,                0.69028,                0.39501,                0.70847,                0.99919,                0.48804,                0.88872,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                0.58878,                0.86717,                0.38559,                0.88315,                0.71702,                0.73903,                0.75576,                 0.5593,                0.81934,                0.65708,                0.69317,                0.38807,                0.70026,                  1.022,                0.48415,                0.88719,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                0.58089,                0.85672,                 0.3803,                0.87893,                0.76461,                0.75673,                0.75056,                0.56413,                0.70609,                0.70355,                0.68332,                0.39323,                0.69293,                0.99938,                0.47707,                0.88173,              3.475e-05,              3.475e-05,              3.475e-05
